Locality,Sample,mab,Latitude,Longitude,Geologic Unit(s),Fossil,Fossil Subgroup,Fossil Unit,Reference,Period,Epoch,Age,projectName,Sample Collector
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Composita affinis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Crenispirifer myllus,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Derbyia sp.,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Hustedia opsia,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Martinia rhomboidalis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Neophricadothyris sp.,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Ombonia guadalupensis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Paraspiriferina billingsi,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Reticulariina sp.,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Sarganostega pressa,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Thedusia trigonalis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
